"user_id","screen_name","name","date","tweet_text","hour","tweet_length","criticite","sentiment"
"189684000000000011534336","lescausesjustes","AInnovation","2025-03-04 08:09:58+00:00","@ENGIEgroup @ENGIEpartFR pour l'amour du ciel, c'est quoi cette gestion de vos clients ? #engie #edf @EDFofficiel","8","113","1","Positif 😊"
"18967000000000000262144","Leoletonneau","Tigre & Dragon 🐯 🐉","2025-03-03 23:25:45+00:00","@ENGIEpartFR vraiment des escrocs, des montants de consommations qui changent. Des excès de facturations dans tous les sens. À fuir","23","131","1","Négatif 😡"
"189662999999999998164992","SouareFirst","So First","2025-03-03 18:47:06+00:00","@ENGIEpartFR bonjour engie les voleurs ! Attention publicité mensongère , on m indique 100 euros remboursé sur le gaz au moment de la souscription et maintenant on refuse de les donner","18","184","1","Négatif 😡"
"189661999999999987941376","julien_ducerf","Julien Ducerf","2025-03-03 17:50:42+00:00","@ENGIEpartFR c'est du harcèlement pour augmenter les mensualités. \n5 fois en 2 mois. Tout ça pour une régularisation de quelques dizaines d'€ sur la dernière facture.","17","167","2","Négatif 😡"
"189658000000000014155776","djofthp","jojodamido","2025-03-03 15:24:10+00:00","@ENGIEpartFR on vous parle","15","26","1","Négatif 😡"
"189648000000000012582912","stefatlan","Stephanie Atlan","2025-03-03 08:35:41+00:00","@ENGIEgroup @ENGIEpartFR serait il possible de respecter vos délais d’intervention contractuels ? Plus d’eau chaude ni chauffage . Mon contrat ( arr 6.3) stipule 24h max , on me propose une intervention dans 3 jours car faute d’effectif","8","236","2","Neutre 😐"
"189477000000000009175040","JedelBias","🅰️ giraffe with a Ⓜ️oustache 🦒","2025-02-26 15:11:08+00:00","Je paye déjà 135 euro par mois pour mon gaz chez @ENGIEpartFR alors que je chauffe à 18c° quand je suis là et 16 quand je m'absente et que j'utilise le poêle à bois dès que possible pour ne pas utiliser trop de gaz. \nQue puis-je faire de plus?","15","244","1","Neutre 😐"
"189474000000000012058624","ferme_occitane","Alésia Rögnvaldr 🇫🇷 (🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇸🇬)","2025-02-26 13:39:12+00:00","21/12/24 au 19/02/25\n800€ chez @ENGIEpartFR \n\nVous vous foutez de qui?\nOn a un chauffage dans la SDB à 17° et un dans la chambre à 16°.\nLe reste c'est au bois.\n\nMerde 🖕🏻🖕🏻🖕🏻","13","180","1","Négatif 😡"
"18947000000000001310720","AlfbTek","vérole humaine","2025-02-26 10:32:13+00:00","@RMCInfo  @BFMTV @CNEWS @60millions @er_natio  @ENGIEpartFR  Ce matin reçu facture GAZ, l'année dernière pour 2 mois 300 €. cette année, on ne chauffe plus la nuit, il fait 10°C le matin dans la maison, la journée 17°C, facture. 42O € Ca va finir quand cette mascarade !!","10","271","2","Négatif 😡"
"189437000000000002883584","9semL","9sl","2025-02-25 13:00:52+00:00","Vraiment des incapables @ENGIEgroup qui me font prendre une demi journée de taff pour que leur technicien ne soit jamais arrivé ! Quand je les appels ils me raccrochent au nez ??? Mais on est où là ??? @ENGIEgroup boycott","13","221","1","Négatif 😡"
"189435999999999992659968","n95i","Francois","2025-02-25 12:09:31+00:00","@ENGIEnewsroom Quels dommages que des conseillers d'#Engie refusent d'aider les clients pour effectuer le règlement de leur facture!!!\n\nTriste image pour l'@ENGIEgroup !!!","12","173","2","Négatif 😡"
"189435000000000015990784","voyager_ytb","Chris L’Europeen","2025-02-25 11:31:25+00:00","@ENGIEpartFR @ademe Voilà une facture de régularisation venant de vous !!! Merci de me mettre limite à la rue !!! https://t.co/9PKIHsO2td","11","137","2","Négatif 😡"
"189398000000000006815744","mehmeh1313","Mehdi","2025-02-24 11:16:43+00:00","@ENGIEgroup  vous appâtez les clients avec votre offres de 100€ offert mais vous oubliez de dire qu’on est obliger de vous apeller depuis plus de 4 mois pour les avoir ! Alors ne vous faite pas avoir car si vous les apeller pas vous allez rien avoir . #engie","11","258","1","Négatif 😡"
"189398000000000006815744","rareselala","´","2025-02-24 11:15:01+00:00","Désolé mais le service client @ENGIEpartFR il est catastrophique ça fais depuis novembre que j’attends d’être remboursé d’une mentualite qu’ils m’ont prélevé en TROP, ça me prends trop pour une imbecile","11","202","2","Négatif 😡"
"189398000000000006815744","jpm251","jpm25","2025-02-24 10:43:35+00:00","@ENGIEpartFR BENOIT a  publié sur le site quelleprime .fr\nUne jolie façade pour se donner bonne conscience\nDossier perdu 3 fois, dont 2 fois envoyé en recommandé Dossier avec pièce manquantes,  Ne perdez pas votre temps, ce sont des clowns....","10","245","1","Négatif 😡"
"189396999999999996592128","jpm251","jpm25","2025-02-24 10:43:13+00:00","@ENGIEpartFR BENOIT a  publié sur le site quelleprime .fr\nUne jolie façade pour se donner bonne conscience\nDossier perdu 3 fois, dont 2 fois envoyé en recommandé Dossier avec pièce manquantes,  Ne perdez pas votre temps, ce sont des clowns....","10","245","1","Négatif 😡"
"189396999999999996592128","jpm251","jpm25","2025-02-24 10:43:02+00:00","@ENGIEpartFR BENOIT a  publié sur le site quelleprime .fr\nUne jolie façade pour se donner bonne conscience\nDossier perdu 3 fois, dont 2 fois envoyé en recommandé Dossier avec pièce manquantes,  Ne perdez pas votre temps, ce sont des clowns....","10","245","1","Négatif 😡"
"189396999999999996592128","jpm251","jpm25","2025-02-24 10:42:51+00:00","@ENGIEpartFR BENOIT a  publié sur le site quelleprime .fr\nUne jolie façade pour se donner bonne conscience\nDossier perdu 3 fois, dont 2 fois envoyé en recommandé Dossier avec pièce manquantes,  Ne perdez pas votre temps, ce sont des clowns....","10","245","1","Négatif 😡"
"189396999999999996592128","jpm251","jpm25","2025-02-24 10:42:22+00:00","@ENGIEpartFR BENOIT a  publié sur le site quelleprime .fr\n\nUne jolie façade pour se donner bonne conscience\nDossier perdu 3 fois, dont 2 fois envoyé en recommandé Dossier avec pièce manquantes,  Ne perdez pas votre temps, ce sont des clowns....","10","247","1","Négatif 😡"
"189391000000000002359296","pharaon_alain","alain🔺🔺🔺👁🌍✨","2025-02-24 06:21:48+00:00","La politique de mr Macron.energie gaz engie chauffe a 19,5 degrés.résultat.⁦@ENGIEpartFR⁩ chercher https://t.co/5djEwos07t bougie proche 🕯️🕯️🕯️ https://t.co/mByAyCAhk0","6","167","1","Neutre 😐"
"189376999999999993446400","minotaure_","Sarah 🪐","2025-02-23 21:08:44+00:00","800€ de régule pr le mois de décembre, janvier, février LOL \nen fait faut être riche pour avoir le chauffage et l’eau chaude ???? putain de merde j’en ai ras le cul (60m2, thermostat sur 19) \n @ENGIEpartFR @ENGIEgroup","21","219","1","Négatif 😡"
"189353999999999993184256","MaxTheMenace2","MaxTheMenace","2025-02-23 05:57:12+00:00","Tu entend que le prix de la facture electrique va diminuer de 15%\n\nMais quand t'es chez @ENGIEgroup , la facture augmente de 16%\n\npour 300 kWh a 80€...ça passe a 310kWh a 95€\n\nN'allez pas chez Engie, même si ils demarchent des Fdp toquer a votre porte se faisant passer pour EDF","5","284","2","Négatif 😡"
"189293999999999983747072","Fred_PG21","Fred | Pocket Gamers |","2025-02-21 14:17:49+00:00","@ENGIEpartFR Bonjour, c'est normal que vous mettiez des dates de remboursement mais qu'elles ne soient pas respectées ? Et quand un de vos téléconseiller doit rappeler et qu'il ne le fait pas... Pire, on me raccroche au nez....","14","227","1","Négatif 😡"
"189293000000000007077888","JuPornet","Julien PORNET","2025-02-21 13:23:46+00:00","@enedis_clients je ne peux pas associer mon PDL à mon espace client car le support m’indique que mon compte est en doublon… depuis plusieurs mois…et du coup, je n’ai plus ma console instantanée dans mon espace @ENGIEgroup\n\nComment faire avancer le sujet svp ?","13","261","1","Négatif 😡"
"189231000000000010747904","DragonZord_777","DragonZord-DragoonZordon","2025-02-19 20:31:29+00:00","@cyril77M @ENGIEpartFR @ENGIEgroup Je reviens vers toi concernant ta demande. Surtout, c'est le tarif indiqué sur ton contrat d'achat qui doit être pris en compte, vu que c'est censé être un tarif avec un Prix Fixe. Il faut appeler et leur dire qu'ils se sont trompé et que tu veux un avoir.","20","291","1","Neutre 😐"
"189228999999999990300672","DragonZord_777","DragonZord-DragoonZordon","2025-02-19 19:09:44+00:00","Aujourd’hui, je vais vous raconter mon histoire grâce à ce Thread concernant @ENGIEpartFR @ENGIEgroup","19","101","1","Neutre 😐"
"189217000000000001835008","blavier86","Portalet","2025-02-19 11:08:38+00:00","@ENGIEpartFR FUYEZ ENGIE. En octobre 2023 mon chauffage est tombé en panne, le problème a été résolu en janvier 2024. Le chauffage est tombé en panne le 14 février 2025 je pense qu' Engie résoudra mon problème en Juin 2025. Actuellement j' ai 16° dans mon appartement. MERCI ENGIE","11","280","4","Positif 😊"
"189217000000000001835008","MariieDn","Anti Chipies🧨 🇯🇲","2025-02-19 10:58:29+00:00","Facture prévisionnel d’électricité quasi 500€ de regul alors que en journée je suis pas là les chauffage sont pas allumés ? @ENGIEpartFR ça va dans vos têtes ????","10","162","2","Négatif 😡"
"189212999999999994494976","MetrakOfficial","Metrak","2025-02-19 08:47:09+00:00","@ENGIEpartFR vous avez peter un câble ? Tu chauffe à 18 degré, tu consomme jamais et tu paye 500 balles, vous nous prenez vraiment pour des cons ? #engie https://t.co/t4Re3SuuEx","8","177","1","Négatif 😡"
"189173999999999998427136","Brutus8039277","Brutus","2025-02-18 06:56:52+00:00","Alors là j’applaudis les voleurs de chez @ENGIEpartFR @ENGIEgroup ! Le prix de l’ectricite censé baissé se 20% va augmenter ! Mon abonnement au gaz va augmenter aussi ! \nPuisque c’est ça je change de fournisseur dans la journée ! @gouvernementFR @dgccrf","6","254","1","Négatif 😡"
"189143999999999993708544","aa_rnaud","Arnaud - SLZ","2025-02-17 11:08:30+00:00","@ENGIEpartFR Je n'ai plus accès à Ma conso quotidienne d'électricité depuis le 04/12/2024... ça devient long.","11","109","1","Négatif 😡"
"189015999999999993708544","fishter_uk","Graeme Hilton","2025-02-13 22:14:26+00:00","@ENGIEpartFR Comment résilier un contrat (et supprimer le compteur) ? Il ne marche pas. Il n'y a pas de bouton à avancer. https://t.co/EHtqLOrSdd","22","145","1","Négatif 😡"
"189007000000000002359296","ForMuslim__","French Muslim ☪","2025-02-13 16:22:09+00:00","@ENGIEgroup qui augmente de plus de 50€ les mensualités de prélèvement mensuel, malgré une consommation qui a drastiquement baissé !\n\n#MafiaOrganisée https://t.co/h4cScSMafA","16","175","1","Neutre 😐"
"188978000000000007864320","mamancruz_","huète","2025-02-12 20:54:36+00:00","Une semaine que j’ai plus d’eau chaude à cause des incapables  @ENGIEpartFR  vraiment quel plaisir en plein hiver","20","113","1","Positif 😊"
"188962000000000012058624","zewala3","̷L̷'̷A̷n̷g̷e̷_ ̷i̷n̷d̷o̷m̷p̷t̷a̷b̷l̷e̷","2025-02-12 10:14:56+00:00","@ENGIEpartFR @ClaireCreation @bymaddyness @Engie @GRDF Reste + qu'à attendre la fact @EDFofficiel \nCelle d'#engie est à  214 € (contre 133 € en 2024 même période😱) - Facture no deepfake @GRDF #NordStream2\n#gazpar tournait sans s'arrêter &amp; sans chauffer non +🤔 essentiellement la nuit, pourquoi ?\n#Nabioullina банк россии\n#sommetIA","10","338","2","Neutre 😐"
"188951000000000000262144","axel_nader","Axel Nader","2025-02-12 03:17:43+00:00","@ENGIEpartSAV Ce que vous demandez par mois est supérieur à la consommation électrique mensuelle\ntous les ans c'est la même chose\net c'est pénible, pénible, pénible!\nLe surplus d'argent imposé arbitrairement ne vous appartient pas!!!\n#Électricité #Énergie #Consommation","3","273","1","Négatif 😡"
"188899000000000005505024","ULRICH63651188","zerocool73🇨🇵🇺🇦🇪🇺","2025-02-10 16:52:17+00:00","@ENGIEpartFR en attente de ma remise de 100e depuis novembre et aucune réaction d’engie après 5 appels !","16","104","1","Négatif 😡"
"188897999999999995281408","srkaddict","dominique bergamasco","2025-02-10 15:50:54+00:00","@ENGIEpartFR Vous m’avez ponctionnée de 3 mois d’électricité et de gaz pour un logement que je n’occupe plus depuis le 31 octobre","15","129","1","Négatif 😡"
